Reaction_ID,Mean_IBD,Mean_Control,Fold_Change,P_value,FDR_corrected_q
ARGDA,251.58510605863367,447.24371945465373,0.5625235081342311,0.0009562915090964976,0.0013040338760406786
PHETA1,48.01643733709293,220.51242074472668,0.2177493547752511,0.0009987686776637185,0.0013496874022482684
GLYC3Pt,39.98395677201655,9.375,4.264955389015099,0.00108901058587769,0.0014584963203719062
TMAOR1epp,109.63367287279007,36.401857108621385,3.0117604314979998,0.001292524859223984,0.0017157409635716603
FORt,-1518.0038622912798,-2112.71955349375,0.718507035058674,0.0015051387661312477,0.0019804457449095363
SO4tex,-50.65285357867988,-172.5278175147513,0.29359238590234304,0.0015828807166199446,0.0020646270216781886
NMNP,23.706329240224903,9.565784282038408,2.478242090900803,0.0019643546651205634,0.002540113791104177
EX_phe_L(e),110.96779454304354,-51.24526376269534,-2.1654253758339324,0.0024286237212120553,0.003113620155400071
PPND2,176.14053655798745,328.4075719827649,0.5363473670675031,0.002851867899575084,0.003625255804544598
EX_csn(e),-132.31619614785453,-66.68156321853125,1.9842995538995247,0.0034752704510336613,0.004380593005504615
CO2tpp,-6458.616373859092,-8419.36752578125,0.7671141987901026,0.004770380913003482,0.005962976141254353
SSZ_AR_NADi,128.47750028555186,511.73579699099406,0.25106217122389995,0.008194992490617194,0.01015908159993867
ANS2,74.67465074857972,105.0821323840458,0.7106312848283737,0.008495330441862596,0.010445078412126142
EX_nmn_m,-6.9461878492,-0.25224071734375003,27.537932504901004,0.00993701022923312,0.012118305157601365
EX_pime_m,-0.19141802739999997,-0.10013512759375,1.9115971787301886,0.016735182169720832,0.020244171979501006
HISabc,1.8409018392734615,9.4057499285662,0.1957208997958216,0.021189666110776703,0.025427599332932045
PPIte,48.627307099701646,68.80317000102647,0.7067596899819613,0.022309458647929877,0.02655887934277366
