Sample_ID,Stratification_Group,Diet_Condition,BCAA_Multiplier,Growth_Rate,3MOPLPAMO_Flux
PRISM.8462,Track A (Dorea Present),High_Overdrive_10x,10.0,0.5734709735533965,0.01918946308280252
PRISM.8464,Track B (Dorea Absent),Baseline_1x,1.0,0.17326655347369616,0.0
PRISM.8464,Track B (Dorea Absent),Moderate_2x,2.0,0.17278429122838296,0.0
PRISM.8464,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.1734178928905657,0.0
PRISM.8467,Track A (Dorea Present),Baseline_1x,1.0,0.6674067616373033,0.02467669027391327
PRISM.8467,Track A (Dorea Present),Moderate_2x,2.0,0.6670061191813312,0.024355167228357153
PRISM.8467,Track A (Dorea Present),High_Overdrive_10x,10.0,0.6667387521890309,0.04360523593360506
PRISM.8485,Track B (Dorea Absent),Baseline_1x,1.0,0.9216851882216479,0.0
PRISM.8485,Track B (Dorea Absent),Moderate_2x,2.0,0.9216829428629126,0.0
PRISM.8485,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.9216828169130732,0.0
PRISM.8496,Track B (Dorea Absent),Baseline_1x,1.0,0.2476245251797553,0.0
PRISM.8496,Track B (Dorea Absent),Moderate_2x,2.0,0.24714844216152526,0.0
PRISM.8496,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.24744604051736777,0.0
PRISM.8515,Track A (Dorea Present),Baseline_1x,1.0,0.4463956020427174,0.0
PRISM.8515,Track A (Dorea Present),Moderate_2x,2.0,0.44612748780385186,0.0
PRISM.8515,Track A (Dorea Present),High_Overdrive_10x,10.0,0.4466899107713499,0.0
PRISM.8523,Track B (Dorea Absent),Baseline_1x,1.0,0.9156113560712803,0.0
PRISM.8523,Track B (Dorea Absent),Moderate_2x,2.0,0.9155936235876196,0.0
PRISM.8523,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.9155963218869243,0.0
PRISM.8534,Track B (Dorea Absent),Baseline_1x,1.0,0.41359609699990896,0.0
PRISM.8534,Track B (Dorea Absent),Moderate_2x,2.0,0.41360140140804313,0.0
PRISM.8534,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.41374307680083394,0.0
PRISM.8577,Track A (Dorea Present),Baseline_1x,1.0,0.6266637326652039,0.037454750493690826
PRISM.8577,Track A (Dorea Present),Moderate_2x,2.0,0.6281266176016581,0.006969923101938825
PRISM.8577,Track A (Dorea Present),High_Overdrive_10x,10.0,0.6264138682908182,0.03815774541704615
PRISM.8589,Track A (Dorea Present),Baseline_1x,1.0,0.7886434754718021,0.05002533409420783
PRISM.8589,Track A (Dorea Present),Moderate_2x,2.0,0.7881161942171597,0.04758974597638407
PRISM.8589,Track A (Dorea Present),High_Overdrive_10x,10.0,0.7881559245544091,0.03569605213203404
PRISM.8591,Track B (Dorea Absent),Baseline_1x,1.0,0.3924137589852217,0.0
PRISM.8591,Track B (Dorea Absent),Moderate_2x,2.0,0.39715538996652394,0.0
PRISM.8591,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.3992047964784139,0.0
PRISM.8605,Track A (Dorea Present),Baseline_1x,1.0,0.9216791886404951,0.035244585875461906
PRISM.8605,Track A (Dorea Present),Moderate_2x,2.0,0.9216712127938642,0.030186220794553333
PRISM.8605,Track A (Dorea Present),High_Overdrive_10x,10.0,0.9216724756994339,0.024389577486375887
PRISM.8629,Track B (Dorea Absent),Baseline_1x,1.0,0.16190367132272063,0.0
PRISM.8629,Track B (Dorea Absent),Moderate_2x,2.0,0.1617594460555935,0.0
PRISM.8629,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.1620814929503469,0.0
PRISM.8675,Track B (Dorea Absent),Baseline_1x,1.0,0.4138831465711869,0.0
PRISM.8675,Track B (Dorea Absent),Moderate_2x,2.0,0.41391681043119866,0.0
PRISM.8675,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.41390529867553216,0.0
PRISM.8683,Track A (Dorea Present),Baseline_1x,1.0,0.5451681232129676,0.026888190114485785
PRISM.8683,Track A (Dorea Present),Moderate_2x,2.0,0.5452790033479952,0.005566485952632655
PRISM.8683,Track A (Dorea Present),High_Overdrive_10x,10.0,0.5452607238891954,0.023430443816144935
PRISM.8692,Track B (Dorea Absent),Baseline_1x,1.0,0.8472239633610112,0.0
PRISM.8692,Track B (Dorea Absent),Moderate_2x,2.0,0.8450055008255705,0.0
PRISM.8692,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.8474759924136216,0.0
PRISM.8696,Track B (Dorea Absent),Baseline_1x,1.0,0.654297722881898,0.0
PRISM.8696,Track B (Dorea Absent),Moderate_2x,2.0,0.6527273711128967,0.0
PRISM.8696,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.6514833487968137,0.0
PRISM.8728,Track A (Dorea Present),Baseline_1x,1.0,0.6004021961746431,0.009724625232549803
PRISM.8728,Track A (Dorea Present),Moderate_2x,2.0,0.6020040170005249,0.009283657078294504
PRISM.8728,Track A (Dorea Present),High_Overdrive_10x,10.0,0.60080720332925,0.026156246937351853
PRISM.8735,Track A (Dorea Present),Baseline_1x,1.0,0.6149717964741028,0.024308203686205336
PRISM.8735,Track A (Dorea Present),Moderate_2x,2.0,0.6148225333756504,0.033634412101851335
PRISM.8735,Track A (Dorea Present),High_Overdrive_10x,10.0,0.6148871613410148,0.009900390894783008
PRISM.8746,Track B (Dorea Absent),Baseline_1x,1.0,0.9216854274613479,0.0
PRISM.8746,Track B (Dorea Absent),Moderate_2x,2.0,0.9216854282727995,0.0
PRISM.8746,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.9216854282189344,0.0
PRISM.8753,Track B (Dorea Absent),Baseline_1x,1.0,0.709810965483861,0.0
PRISM.8753,Track B (Dorea Absent),Moderate_2x,2.0,0.7101262859281238,0.0
PRISM.8753,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.7093442614985763,0.0
PRISM.8754,Track A (Dorea Present),Baseline_1x,1.0,0.7594623001391024,0.013557758631528902
